15651.000000,15322.000000
15499.000000,15094.000000
16088.000000,15967.000000
16368.000000,16266.000000
16689.000000,16325.000000
15830.000000,15670.000000
15955.000000,15873.000000
16332.000000,16199.000000
16933.000000,16798.000000
16868.000000,16777.000000
16196.000000,16086.000000
15676.000000,15566.000000
15901.000000,15504.000000
15043.000000,14697.000000
16061.000000,15193.000000
15289.000000,14625.000000
15555.000000,15172.000000
16604.000000,16496.000000
16356.000000,16293.000000
15926.000000,15755.000000
16080.000000,15912.000000
16253.000000,15735.000000
15138.000000,15053.000000
14720.000000,14611.000000
16526.000000,16314.000000
16081.000000,16000.000000
14690.000000,14607.000000
16579.000000,16503.000000
16794.000000,16672.000000
15794.000000,15712.000000
14451.000000,14233.000000
